PO_ID,Supplier_ID,Product_ID,Order_Date,Delivery_Date,Quantity,Unit_Cost,Total_Cost,Order_Status
100042,1358,6863,2026-06-10,2026-07-16,390,638.78,249124.2,Cancelled
100043,1841,5311,2024-12-28,2025-01-13,740,2156.42,1595750.8,Completed
100044,1928,5053,2025-07-08,2025-07-17,214,518.91,111046.74,Delayed
100045,1975,6853,2025-07-20,2025-08-08,471,2434.93,1146852.03,Pending
100046,1707,6625,2025-03-28,2025-05-02,64,3348.39,214296.96,Completed
100047,1377,5125,2025-03-06,2025-04-08,532,3022.36,1607895.52,Delayed
100048,1706,5510,2025-01-29,2025-03-11,439,4399.5,1931380.5,Delayed
100049,1933,5236,2024-09-25,2024-11-01,609,4974.68,3029580.12,Completed
100050,1934,6803,2024-09-22,2024-10-03,63,1475.45,92953.35,Delayed
100051,1439,6584,2026-01-04,2026-01-13,692,154.93,107211.56,Delayed
100052,1541,6348,2025-03-10,2025-04-14,722,4400.03,3176821.66,Delayed
100053,1674,6130,2026-05-20,2026-06-30,456,1819.73,829796.88,Delayed
100054,1653,5705,2025-04-05,2025-05-14,673,4130.8,2780028.4,Completed
100055,1455,6246,2025-07-27,2025-08-04,288,208.33,59999.04,Pending
100056,1376,5409,2025-05-06,2025-05-20,228,779.82,177798.96,Delayed
100057,1070,6279,2026-07-31,2026-09-09,400,3670.39,1468156.0,Delayed
100058,1454,6043,2024-11-16,2024-11-28,669,3661.06,2449249.14,Delayed
100059,1303,6600,2025-12-22,2026-01-03,693,3658.42,2535285.06,Cancelled
100060,1468,5710,2025-09-02,2025-09-09,691,3900.6,2695314.6,Cancelled
100061,1812,6612,2025-10-31,2025-12-01,756,1954.29,1477443.24,Delayed
100062,1482,6699,2025-01-01,2025-01-06,532,3034.24,1614215.68,Cancelled
100063,1966,6592,2024-09-12,2024-10-23,505,4544.89,2295169.45,Pending
100064,1407,5974,2024-12-19,2025-01-19,24,672.75,16146.0,Cancelled
100065,1503,5987,2025-01-05,2025-01-19,120,2855.86,342703.2,Delayed
100066,1053,5394,2026-04-07,2026-04-20,736,495.59,364754.24,Cancelled
100067,1864,6685,2024-08-22,2024-09-12,723,1883.3,1361625.9,Completed
100068,1065,6586,2025-05-29,2025-07-10,560,4037.76,2261145.6,Pending
100069,1782,5240,2026-04-03,2026-05-18,232,1929.4,447620.8,Pending
100070,1438,6938,2026-06-07,2026-06-28,490,3347.13,1640093.7,Pending
100071,1664,5558,2024-10-08,2024-11-08,514,2305.52,1185037.28,Pending
100072,1092,6263,2026-04-13,2026-05-12,634,2265.15,1436105.1,Cancelled
100073,1791,6573,2025-04-06,2025-05-13,259,1698.97,440033.23,Completed
100074,1688,5608,2026-05-04,2026-05-22,177,699.36,123786.72,Completed
100075,1944,5970,2026-04-17,2026-05-14,283,2249.38,636574.54,Cancelled
100076,1288,5105,2025-11-17,2025-12-22,698,4441.26,3099999.48,Pending
100077,1047,6093,2024-12-22,2025-01-03,745,1831.21,1364251.45,Delayed
100078,1584,5593,2026-06-25,2026-07-19,271,1762.42,477615.82,Completed
100079,1292,6960,2026-06-13,2026-07-07,255,1795.84,457939.2,Delayed
100080,1715,5649,2025-03-19,2025-04-21,435,2025.36,881031.6,Completed
100081,1713,5973,2024-11-29,2025-01-09,453,1703.06,771486.18,Completed
100082,1573,5388,2026-05-04,2026-05-28,197,1802.43,355078.71,Delayed
100083,1132,5857,2025-11-19,2025-11-26,93,1185.48,110249.64,Completed
100084,1253,5891,2025-11-03,2025-11-22,614,4004.49,2458756.86,Pending
100085,1678,6215,2025-02-28,2025-04-07,741,1166.98,864732.18,Cancelled
100086,1497,5044,2025-07-07,2025-08-05,568,3999.04,2271454.72,Delayed
100087,1080,6076,2025-08-26,2025-09-04,705,595.39,419749.95,Completed
100088,1465,5607,2026-04-27,2026-05-21,650,3178.03,2065719.5,Cancelled
100089,1800,5334,2025-10-03,2025-10-30,162,999.38,161899.56,Pending
100090,1738,5919,2026-05-03,2026-06-16,87,2379.25,206994.75,Delayed
100091,1405,6450,2025-03-22,2025-05-01,412,3857.28,1589199.36,Pending
100092,1169,5483,2025-02-27,2025-03-19,627,4391.68,2753583.36,Pending
100093,1815,5027,2026-04-20,2026-06-01,598,409.0,244582.0,Delayed
100094,1743,5603,2025-06-09,2025-06-29,314,2177.36,683691.04,Cancelled
100095,1114,6996,2025-02-13,2025-03-21,496,4356.04,2160595.84,Completed
100096,1567,5300,2026-04-16,2026-05-15,712,1425.0,1014600.0,Completed
100097,1959,5972,2024-11-16,2024-11-25,430,3391.06,1458155.8,Cancelled
100098,1483,5042,2024-12-17,2025-01-10,667,4006.23,2672155.41,Cancelled
100099,1413,5742,2025-03-14,2025-04-15,534,484.34,258637.56,Delayed
100100,1816,5292,2024-09-05,2024-10-12,87,2408.18,209511.66,Cancelled
100101,1008,6558,2025-01-09,2025-02-16,356,4882.4,1738134.4,Completed
100102,1538,5317,2025-01-08,2025-01-23,292,1040.71,303887.32,Pending
100103,1504,5290,2025-03-22,2025-04-05,356,3144.85,1119566.6,Pending
100104,1969,5150,2024-12-04,2024-12-16,229,2171.55,497284.95,Pending
100105,1637,5276,2024-11-03,2024-12-06,75,583.05,43728.75,Cancelled
100106,1647,5574,2025-11-08,2025-12-12,793,3117.56,2472225.08,Pending
100107,1038,5830,2025-05-06,2025-06-05,700,1404.21,982947.0,Pending
100108,1836,6802,2025-02-19,2025-03-23,89,2190.75,194976.75,Cancelled
100109,1479,6916,2026-01-29,2026-02-05,462,4669.95,2157516.9,Delayed
100110,1170,6360,2024-09-26,2024-10-29,474,763.72,362003.28,Delayed
100111,1636,6330,2026-05-08,2026-05-14,460,1538.4,707664.0,Cancelled
100112,1162,6363,2024-10-10,2024-11-20,163,3723.61,606948.43,Completed
100113,1285,6887,2025-06-16,2025-07-28,199,3555.03,707450.97,Cancelled
100114,1290,6035,2025-06-28,2025-07-11,79,388.32,30677.28,Delayed
100115,1170,6167,2026-02-10,2026-03-09,300,270.32,81096.0,Delayed
100116,1922,6144,2025-05-12,2025-06-07,609,3456.55,2105038.95,Delayed
100117,1332,6622,2026-01-23,2026-02-20,483,991.32,478807.56,Delayed
100118,1007,6008,2025-07-27,2025-08-12,682,670.77,457465.14,Completed
100119,1576,6507,2025-03-31,2025-05-12,396,4415.52,1748545.92,Cancelled
100120,1854,5692,2025-10-14,2025-11-17,154,2575.44,396617.76,Completed
100121,1515,5707,2024-10-05,2024-10-12,780,2300.19,1794148.2,Completed
100122,1369,5505,2026-05-13,2026-06-14,333,2404.37,800655.21,Cancelled
100123,1842,5661,2024-10-23,2024-12-03,654,3688.01,2411958.54,Pending
100124,1217,5751,2026-05-01,2026-05-25,797,2327.85,1855296.45,Cancelled
100125,1931,6055,2024-12-29,2025-01-27,121,2525.37,305569.77,Pending
100126,1366,5808,2024-10-25,2024-11-03,711,1967.76,1399077.36,Delayed
100127,1188,5929,2025-06-18,2025-07-05,559,2610.42,1459224.78,Cancelled
100128,1493,5576,2025-04-02,2025-04-16,483,1787.49,863357.67,Cancelled
100129,1125,6572,2026-05-02,2026-06-08,757,3245.34,2456722.38,Cancelled
100130,1141,5631,2026-01-18,2026-02-10,435,1483.95,645518.25,Completed
100131,1666,6074,2026-05-08,2026-06-16,508,2464.58,1252006.64,Cancelled
100132,1704,6245,2024-12-14,2024-12-28,784,1147.67,899773.28,Completed
100133,1335,6626,2026-03-05,2026-03-28,72,2652.37,190970.64,Cancelled
100134,1614,5581,2026-07-01,2026-07-25,232,3418.84,793170.88,Pending
100135,1821,6366,2024-11-18,2024-12-13,472,4837.01,2283068.72,Delayed
100136,1038,6154,2026-01-16,2026-02-18,208,1073.5,223288.0,Pending
100137,1036,6657,2026-03-13,2026-03-28,521,865.66,451008.86,Cancelled
100138,1889,5463,2025-11-03,2025-12-07,501,1775.11,889330.11,Completed
100139,1569,5050,2026-02-10,2026-03-20,300,3596.83,1079049.0,Cancelled
100140,1271,5462,2025-02-14,2025-02-19,40,4365.99,174639.6,Delayed
100141,1344,6047,2025-12-03,2026-01-02,223,406.77,90709.71,Delayed
100142,1408,6270,2025-11-14,2025-12-02,402,1017.59,409071.18,Delayed
100143,1219,6142,2025-12-05,2025-12-12,103,4564.78,470172.34,Delayed
100144,1478,6152,2025-11-02,2025-12-14,94,4724.97,444147.18,Pending
100145,1122,6825,2025-01-02,2025-01-21,728,2983.71,2172140.88,Completed
100146,1334,6773,2025-07-15,2025-08-11,561,236.25,132536.25,Pending
100147,1850,6611,2024-10-06,2024-11-20,426,3492.99,1488013.74,Pending
100148,1039,5640,2025-08-14,2025-09-17,167,4933.35,823869.45,Pending
100149,1523,6641,2024-10-17,2024-10-26,615,1039.8,639477.0,Cancelled
100150,1856,5314,2025-10-22,2025-10-29,243,3049.63,741060.09,Cancelled
100151,1399,6135,2025-11-17,2025-12-04,666,2320.92,1545732.72,Cancelled
100152,1869,5206,2025-06-13,2025-07-02,114,1451.06,165420.84,Delayed
100153,1689,5532,2024-11-29,2024-12-30,69,3382.02,233359.38,Delayed
100154,1848,6642,2026-04-09,2026-05-01,552,2675.26,1476743.52,Pending
100155,1635,6286,2025-12-29,2026-02-11,569,1381.35,785988.15,Cancelled
100156,1383,5230,2025-05-16,2025-05-31,238,33.2,7901.6,Completed
100157,1153,6501,2025-03-31,2025-04-22,164,56.11,9202.04,Delayed
100158,1718,5834,2026-04-16,2026-05-25,451,2875.82,1296994.82,Completed
100159,1425,5134,2026-05-31,2026-06-14,545,2180.25,1188236.25,Completed
100160,1408,6744,2025-09-26,2025-10-27,439,3001.74,1317763.86,Completed
100161,1801,6667,2026-07-09,2026-08-14,270,4660.06,1258216.2,Delayed
100162,1704,6282,2025-11-20,2025-12-22,275,3852.2,1059355.0,Completed
100163,1321,6720,2026-07-28,2026-09-06,303,3675.82,1113773.46,Pending
100164,1744,5397,2025-01-22,2025-02-04,675,4982.31,3363059.25,Completed
100165,1911,6350,2025-07-02,2025-08-04,306,875.96,268043.76,Pending
100166,1642,5516,2025-07-27,2025-08-12,289,170.55,49288.95,Delayed
100167,1578,6486,2025-09-19,2025-10-22,36,1818.82,65477.52,Delayed
100168,1370,6577,2026-07-04,2026-08-05,621,2967.93,1843084.53,Pending
100169,1658,6396,2024-12-23,2025-01-22,344,1430.09,491950.96,Completed
100170,1541,6321,2026-01-25,2026-02-07,131,2770.43,362926.33,Cancelled
100171,1095,6119,2025-12-26,2026-01-29,655,4675.49,3062445.95,Pending
100172,1896,5685,2025-09-03,2025-09-28,590,4057.68,2394031.2,Completed
100173,1826,5090,2025-04-16,2025-05-13,188,4929.89,926819.32,Cancelled
100174,1919,5283,2026-04-11,2026-05-14,761,486.51,370234.11,Cancelled
100175,1728,6605,2026-03-10,2026-04-01,73,834.8,60940.4,Cancelled
100176,1005,6263,2024-09-14,2024-09-27,39,4122.12,160762.68,Delayed
100177,1995,6807,2026-06-22,2026-07-19,228,1696.34,386765.52,Completed
100178,1316,5993,2024-09-16,2024-10-30,790,368.41,291043.9,Completed
100179,1025,6938,2025-08-31,2025-10-15,611,4815.95,2942545.45,Completed
100180,1775,6810,2025-01-13,2025-01-19,549,3668.64,2014083.36,Delayed
100181,1466,5684,2025-06-08,2025-06-13,123,1300.1,159912.3,Cancelled
100182,1417,5922,2026-03-02,2026-04-12,302,2555.68,771815.36,Completed
100183,1183,6380,2026-03-16,2026-04-14,330,4741.52,1564701.6,Delayed
100184,1830,5465,2024-11-14,2024-11-23,69,240.05,16563.45,Delayed
100185,1947,5413,2024-09-24,2024-11-03,511,151.1,77212.1,Cancelled
100186,1320,5282,2026-05-07,2026-05-21,308,1680.81,517689.48,Delayed
100187,1494,5036,2026-06-21,2026-06-29,695,2481.53,1724663.35,Completed
100188,1738,5833,2026-06-12,2026-07-22,315,2542.8,800982.0,Pending
100189,1259,6752,2026-04-07,2026-04-19,384,619.63,237937.92,Cancelled
100190,1635,6688,2026-03-09,2026-04-04,400,2568.58,1027432.0,Delayed
100191,1611,6186,2026-01-17,2026-02-03,78,4340.97,338595.66,Cancelled
100192,1627,6178,2025-04-27,2025-06-07,661,3269.46,2161113.06,Pending
100193,1684,6635,2026-02-14,2026-03-22,770,2987.57,2300428.9,Pending
100194,1223,5488,2026-04-03,2026-04-15,775,4926.5,3818037.5,Completed
100195,1504,6413,2025-10-12,2025-11-20,761,2062.21,1569341.81,Pending
100196,1544,5479,2024-12-31,2025-02-09,206,150.74,31052.44,Cancelled
100197,1740,6943,2025-05-25,2025-06-26,758,4714.03,3573234.74,Pending
100198,1764,5272,2024-12-19,2025-01-28,298,325.18,96903.64,Pending
100199,1963,6137,2025-06-12,2025-06-24,107,4803.64,513989.48,Pending
100200,1702,6109,2025-11-19,2025-12-12,585,744.27,435397.95,Delayed
100201,1578,5845,2026-05-11,2026-06-22,398,1011.66,402640.68,Delayed
100202,1179,6364,2026-07-03,2026-07-25,127,674.64,85679.28,Pending
100203,1142,6273,2025-07-25,2025-08-27,624,4724.05,2947807.2,Pending
100204,1502,6187,2024-11-12,2024-12-22,205,3862.22,791755.1,Completed
100205,1015,5247,2025-10-15,2025-10-24,126,2148.23,270676.98,Completed
100206,1978,5029,2025-01-10,2025-01-29,119,2384.33,283735.27,Completed
100207,1668,6810,2026-04-12,2026-04-21,413,2457.62,1014997.06,Cancelled
100208,1012,6247,2025-04-24,2025-06-01,32,3349.41,107181.12,Cancelled
100209,1043,5088,2026-05-28,2026-06-03,56,2660.35,148979.6,Delayed
100210,1478,6298,2026-01-19,2026-03-02,187,1725.84,322732.08,Pending
100211,1321,6276,2024-12-15,2025-01-01,539,1154.52,622286.28,Cancelled
100212,1983,5697,2024-10-04,2024-10-19,191,2419.69,462160.79,Completed
100213,1285,5559,2025-01-28,2025-02-06,189,3857.02,728976.78,Delayed
100214,1706,5623,2026-07-30,2026-08-15,444,2388.08,1060307.52,Pending
100215,1245,6010,2024-11-09,2024-12-16,652,105.39,68714.28,Pending
100216,1887,6650,2025-07-02,2025-08-05,599,4675.49,2800618.51,Completed
100217,1867,6751,2025-11-09,2025-11-30,425,4435.32,1885011.0,Delayed
100218,1855,5271,2025-09-09,2025-10-09,29,3217.55,93308.95,Pending
100219,1372,5837,2024-12-07,2025-01-15,371,3729.0,1383459.0,Pending
100220,1522,5497,2024-11-16,2024-12-08,477,77.93,37172.61,Cancelled
100221,1062,6641,2025-03-30,2025-04-12,577,3108.63,1793679.51,Pending
100222,1692,5600,2024-09-25,2024-11-04,327,2551.62,834379.74,Pending
100223,1285,5179,2025-09-09,2025-10-03,431,3666.52,1580270.12,Delayed
100224,1044,5802,2025-03-16,2025-04-16,708,3772.91,2671220.28,Completed
100225,1722,5566,2025-03-21,2025-04-27,469,2256.15,1058134.35,Completed
100226,1827,6202,2024-12-05,2024-12-18,733,653.39,478934.87,Cancelled
100227,1993,5818,2024-08-24,2024-09-10,741,3233.26,2395845.66,Completed
100228,1398,6585,2025-03-13,2025-03-20,242,3374.21,816558.82,Completed
100229,1475,6956,2026-05-31,2026-06-14,608,2568.58,1561696.64,Delayed
100230,1929,6115,2026-08-04,2026-09-03,428,3582.18,1533173.04,Completed
100231,1614,5973,2025-08-25,2025-08-30,191,1621.95,309792.45,Pending
100232,1556,5966,2025-06-30,2025-07-28,317,4772.25,1512803.25,Pending
100233,1836,5505,2025-08-21,2025-08-26,318,243.15,77321.7,Completed
100234,1624,6317,2025-04-21,2025-04-30,410,822.06,337044.6,Pending
100235,1820,6040,2025-12-26,2026-01-25,159,122.1,19413.9,Delayed
100236,1640,5728,2026-04-22,2026-06-05,414,65.48,27108.72,Cancelled
100237,1199,6189,2024-11-19,2024-12-30,723,508.43,367594.89,Pending
100238,1009,6083,2025-07-27,2025-08-19,677,4871.75,3298174.75,Pending
100239,1800,5211,2025-01-04,2025-01-13,335,4771.54,1598465.9,Pending
100240,1507,6120,2026-05-01,2026-05-13,104,376.81,39188.24,Cancelled
100241,1359,6613,2024-09-21,2024-10-05,461,3730.69,1719848.09,Completed
100242,1839,6635,2026-07-15,2026-08-29,108,727.78,78600.24,Cancelled
100243,1491,5928,2024-11-03,2024-12-16,129,1480.87,191032.23,Pending
100244,1056,5588,2026-05-25,2026-06-09,255,3770.86,961569.3,Cancelled
100245,1237,5824,2025-08-10,2025-09-15,117,4325.18,506046.06,Cancelled
100246,1630,5064,2024-12-30,2025-01-18,188,563.82,105998.16,Cancelled
100247,1553,5341,2024-11-22,2024-12-11,613,3571.67,2189433.71,Completed
100248,1994,6041,2025-10-08,2025-11-16,198,812.89,160952.22,Delayed
100249,1909,6670,2026-04-13,2026-05-11,797,3133.05,2497040.85,Delayed
100250,1136,5629,2025-06-25,2025-07-23,730,843.11,615470.3,Completed
100251,1164,6639,2024-08-31,2024-10-03,114,3098.56,353235.84,Cancelled
100252,1897,5280,2025-05-14,2025-06-24,444,3514.86,1560597.84,Delayed
100253,1423,5275,2025-07-18,2025-08-16,662,1016.48,672909.76,Completed
100254,1230,6770,2025-10-30,2025-12-05,547,2721.01,1488392.47,Completed
100255,1342,6616,2026-05-08,2026-06-10,58,442.09,25641.22,Delayed
100256,1460,6555,2025-05-15,2025-06-05,189,1231.99,232846.11,Pending
100257,1492,6139,2026-06-06,2026-06-24,566,2504.07,1417303.62,Pending
100258,1374,5458,2026-01-24,2026-02-19,218,899.17,196019.06,Delayed
100259,1777,5848,2025-08-17,2025-09-12,703,70.35,49456.05,Delayed
100260,1893,6099,2024-10-28,2024-12-09,346,2864.86,991241.56,Delayed
100261,1372,5601,2024-10-13,2024-11-03,46,2658.99,122313.54,Delayed
100262,1330,6037,2024-10-03,2024-11-02,120,3720.54,446464.8,Cancelled
100263,1601,5806,2025-06-15,2025-06-27,475,2354.26,1118273.5,Cancelled
100264,1487,5562,2024-10-12,2024-10-23,205,1304.5,267422.5,Cancelled
100265,1693,5507,2025-01-06,2025-01-20,689,1434.16,988136.24,Delayed
100266,1696,5960,2024-10-26,2024-11-17,282,115.07,32449.74,Cancelled
100267,1536,6164,2024-10-10,2024-11-12,735,2871.1,2110258.5,Pending
100268,1967,5397,2025-10-31,2025-11-12,586,4961.65,2907526.9,Pending
100269,1499,6081,2025-07-09,2025-07-26,536,2605.49,1396542.64,Pending
100270,1091,5538,2025-11-14,2025-11-21,631,2388.74,1507294.94,Cancelled
100271,1139,5206,2024-10-02,2024-10-29,576,1353.88,779834.88,Cancelled
100272,1395,5550,2025-05-16,2025-06-08,533,1294.57,690005.81,Pending
100273,1510,6069,2024-08-30,2024-09-13,704,1105.64,778370.56,Completed
100274,1356,5675,2024-09-02,2024-09-09,110,1977.49,217523.9,Completed
100275,1840,5512,2024-12-12,2024-12-27,423,1184.68,501119.64,Cancelled
100276,1002,6184,2025-05-17,2025-06-21,255,1299.09,331267.95,Delayed
100277,1593,6853,2026-08-19,2026-09-17,534,3647.18,1947594.12,Cancelled
100278,1602,5455,2024-10-15,2024-10-31,657,844.08,554560.56,Cancelled
100279,1284,5889,2025-10-12,2025-11-07,710,3469.6,2463416.0,Pending
100280,1673,5227,2025-12-08,2026-01-21,799,2771.51,2214436.49,Cancelled
100281,1821,6176,2025-08-26,2025-09-05,619,1529.62,946834.78,Pending
100282,1189,5629,2025-06-24,2025-07-23,605,2212.86,1338780.3,Pending
100283,1570,6705,2026-03-02,2026-03-23,415,1207.71,501199.65,Completed
100284,1329,6540,2024-12-18,2025-01-14,227,4182.91,949520.57,Delayed
100285,1011,5731,2025-08-14,2025-08-19,644,68.79,44300.76,Completed
100286,1648,5934,2024-12-10,2025-01-06,563,110.04,61952.52,Delayed
100287,1536,5875,2025-06-30,2025-07-28,684,1767.7,1209106.8,Delayed
100288,1152,5308,2025-12-27,2026-01-12,483,2050.52,990401.16,Completed
100289,1828,6446,2026-04-21,2026-05-09,441,4016.18,1771135.38,Completed
100290,1281,5769,2025-07-09,2025-08-04,187,4866.71,910074.77,Pending
100291,1915,5579,2026-01-21,2026-02-22,68,2439.44,165881.92,Cancelled
100292,1471,5202,2025-04-05,2025-04-12,214,2357.09,504417.26,Completed
100293,1855,6726,2025-05-16,2025-06-01,416,1835.12,763409.92,Delayed
100294,1259,5557,2025-09-14,2025-10-24,162,2983.27,483289.74,Cancelled
100295,1947,6403,2025-10-09,2025-10-19,81,73.31,5938.11,Completed
100296,1314,5612,2026-04-20,2026-06-03,678,4878.41,3307561.98,Delayed
100297,1213,5621,2025-01-17,2025-02-07,271,4781.45,1295772.95,Delayed
100298,1926,6452,2026-05-23,2026-05-29,523,3366.66,1760763.18,Pending
100299,1226,5994,2026-05-01,2026-05-16,45,4678.45,210530.25,Delayed
100300,1295,6372,2026-02-06,2026-03-18,54,3385.52,182818.08,Cancelled
100301,1058,5077,2026-05-12,2026-06-25,697,3673.68,2560554.96,Cancelled
100302,1083,5105,2025-03-28,2025-04-24,447,325.66,145570.02,Completed
100303,1212,6185,2026-06-06,2026-06-23,327,4477.13,1464021.51,Completed
100304,1666,6050,2025-10-16,2025-11-15,373,1678.11,625935.03,Pending
100305,1587,5944,2025-10-18,2025-11-16,224,2984.98,668635.52,Delayed
100306,1764,6712,2026-05-31,2026-06-09,635,1529.46,971207.1,Delayed
100307,1567,6156,2025-06-24,2025-07-28,469,2825.11,1324976.59,Cancelled
100308,1908,5087,2026-05-15,2026-06-11,316,467.7,147793.2,Pending
100309,1106,6401,2026-02-17,2026-03-06,75,1547.4,116055.0,Delayed
100310,1072,6732,2025-12-24,2026-01-31,300,870.24,261072.0,Cancelled
100311,1267,6672,2026-03-07,2026-04-19,291,2198.91,639882.81,Completed
100312,1180,5818,2026-04-21,2026-06-02,180,2616.56,470980.8,Pending
100313,1118,6101,2024-09-05,2024-09-25,396,243.45,96406.2,Cancelled
100314,1925,5713,2024-12-21,2025-01-11,750,3590.41,2692807.5,Delayed
100315,1573,5223,2025-10-27,2025-12-07,295,836.77,246847.15,Pending
100316,1951,5122,2025-04-01,2025-04-23,317,4458.86,1413458.62,Completed
100317,1215,6050,2025-01-14,2025-01-31,655,2313.89,1515597.95,Delayed
100318,1402,6084,2026-08-05,2026-09-09,740,1268.18,938453.2,Pending
100319,1034,6365,2025-10-12,2025-10-20,534,905.71,483649.14,Completed
100320,1067,6535,2026-05-15,2026-06-03,743,378.19,280995.17,Delayed
100321,1732,5359,2026-07-08,2026-08-11,36,2780.86,100110.96,Delayed
100322,1985,6172,2026-04-04,2026-05-06,340,273.61,93027.4,Pending
100323,1910,5496,2025-05-23,2025-06-14,657,3709.98,2437456.86,Delayed
100324,1864,6387,2026-05-25,2026-07-01,418,3841.63,1605801.34,Cancelled
100325,1080,6758,2025-03-12,2025-04-25,667,4364.95,2911421.65,Pending
100326,1207,6417,2026-02-08,2026-03-10,115,2468.44,283870.6,Completed
100327,1443,5192,2025-07-28,2025-09-11,97,2097.29,203437.13,Delayed
100328,1958,5471,2026-06-27,2026-07-28,234,1182.92,276803.28,Cancelled
100329,1766,5226,2025-03-08,2025-03-25,265,275.65,73047.25,Pending
100330,1308,5126,2025-01-18,2025-02-09,531,1032.72,548374.32,Delayed
100331,1035,5950,2024-12-10,2025-01-01,297,4369.57,1297762.29,Delayed
100332,1868,6123,2024-09-06,2024-10-21,689,2769.67,1908302.63,Pending
100333,1207,6288,2026-03-29,2026-05-01,45,1018.09,45814.05,Pending
100334,1066,5766,2026-01-07,2026-01-14,491,3685.2,1809433.2,Completed
100335,1598,5296,2025-06-12,2025-07-13,580,2653.01,1538745.8,Pending
100336,1677,5595,2024-09-13,2024-10-05,161,181.68,29250.48,Pending
100337,1863,5202,2026-05-21,2026-06-15,225,2338.19,526092.75,Pending
100338,1756,6301,2025-01-07,2025-01-28,395,2123.81,838904.95,Pending
100339,1859,6605,2026-08-12,2026-09-21,634,3451.24,2188086.16,Delayed
100340,1379,5335,2024-09-20,2024-10-21,293,1084.18,317664.74,Cancelled
100341,1299,5277,2026-02-19,2026-04-02,391,2597.89,1015774.99,Completed
100342,1200,6839,2026-01-01,2026-01-06,213,1055.68,224859.84,Cancelled
100343,1620,5667,2026-03-06,2026-04-08,114,2460.79,280530.06,Pending
100344,1318,5070,2024-11-29,2024-12-30,706,929.21,656022.26,Pending
100345,1016,5442,2025-02-12,2025-03-27,125,2372.54,296567.5,Completed
100346,1675,6550,2025-09-08,2025-09-13,145,4045.93,586659.85,Cancelled
