Supplier_ID,Supplier_Name,Country_ID,Category,Payment_Terms,Lead_Time_Days,Performance_Score,Risk_Score,Annual_Contract_Value
1128,Reynolds-Lopez,3,Packaging,Immediate,11,79.12,6,2282931
1129,"West, Wiley and Sawyer",7,Logistics,Advance,31,73.09,9,2349553
1130,"Howard, Blake and Walker",8,Manufacturing,Advance,30,81.38,3,2361328
1131,"Kelley, Williamson and Hayes",7,Office Supplies,Advance,12,89.38,10,2224992
1132,"West, Lambert and Mendoza",9,Marketing,Net 30,37,76.91,4,445807
1133,Mccoy-King,6,Professional Services,Immediate,39,72.93,4,2359407
1134,Buchanan Inc,3,Packaging,Advance,40,74.6,2,608333
1135,Myers PLC,4,Raw Materials,Immediate,27,98.06,1,2320943
1136,Smith and Sons,5,Packaging,Advance,24,91.82,6,2431695
1137,"Rocha, Stephens and Perez",4,Facilities,Net 45,15,95.64,10,2686368
1138,Terry Inc,6,IT Services,Net 45,5,74.79,7,1530772
1139,Brown-Cooper,6,Professional Services,Immediate,31,98.6,1,1635123
1140,Sawyer PLC,6,IT Services,Advance,39,70.38,3,558036
1141,"Young, Phillips and Shaffer",6,Manufacturing,Net 45,27,97.44,2,2683269
1142,Brown-Braun,1,Packaging,Net 45,35,73.22,10,941123
1143,Hart Inc,4,Electronics,Net 45,6,99.84,8,2477650
1144,"Carr, Welch and Delgado",8,Office Supplies,Net 30,36,93.8,8,737533
1145,Adams LLC,1,Logistics,Advance,40,74.29,4,2214701
1146,Turner-Foster,10,IT Services,Net 45,41,98.73,8,135062
1147,Bowen-Gordon,6,IT Services,Advance,22,86.53,2,1467368
1148,Ramirez and Sons,3,Logistics,Advance,5,92.25,2,400453
1149,Jones Inc,9,Logistics,Immediate,20,90.08,6,1229660
1150,Woodard Group,3,Logistics,Net 60,17,80.01,9,2480777
1151,Barton PLC,7,Raw Materials,Immediate,43,94.65,5,1559077
1152,Hanna-Morgan,6,Facilities,Advance,33,98.77,4,1659000
1153,"Adams, Carroll and Hale",2,Packaging,Net 30,45,83.21,8,175319
1154,"Gutierrez, Gates and Hernandez",1,IT Services,Net 30,13,81.17,1,2109843
1155,Johnson and Sons,1,Manufacturing,Net 60,30,86.01,2,2987043
1156,Klein-Sanchez,2,Packaging,Net 30,30,84.04,7,1379804
1157,"Gamble, Jones and Sharp",4,Logistics,Advance,36,86.32,8,1263851
1158,Kim-Lam,9,IT Services,Net 30,11,76.79,3,383884
1159,"Hartman, Miller and Chaney",1,Packaging,Net 45,37,94.67,8,1990101
1160,Miller-Singleton,9,Raw Materials,Advance,34,85.21,5,2081073
1161,Garrett and Sons,9,Office Supplies,Advance,14,74.8,6,917102
1162,Pittman LLC,10,Electronics,Immediate,40,97.4,6,1675402
1163,Edwards-Carr,6,Office Supplies,Immediate,8,79.53,1,1568328
1164,Johnson-Jones,9,Marketing,Immediate,37,99.46,8,349827
1165,Phillips-Bowers,3,Packaging,Net 30,40,84.82,6,516132
1166,Washington PLC,6,Raw Materials,Immediate,45,88.09,8,2543822
1167,Brooks-Carter,2,Packaging,Net 45,12,76.7,5,180970
1168,Holmes Ltd,4,Office Supplies,Net 60,27,70.9,1,429528
1169,Todd Ltd,9,Raw Materials,Advance,22,72.38,6,1551968
1170,Gutierrez-Gray,9,Raw Materials,Advance,11,95.58,6,1200541
1171,Carpenter Inc,6,Electronics,Net 30,5,84.47,6,1924322
1172,Gibson-Schneider,8,Manufacturing,Net 60,34,93.48,1,454028
1173,Gregory Group,9,Professional Services,Net 30,14,79.2,10,1656024
1174,"Taylor, Rodriguez and Ryan",8,Electronics,Net 60,31,85.57,2,2766277
1175,Roman-Knight,4,Office Supplies,Net 45,12,95.24,9,302447
1176,"Stephens, Williams and Sanchez",4,IT Services,Net 45,23,73.87,2,1049074
1177,Aguilar Inc,5,Manufacturing,Net 60,36,71.17,5,1919463
1178,House Group,1,Packaging,Advance,41,85.77,10,981439
1179,Vasquez Inc,4,Office Supplies,Net 30,9,90.83,9,1151278
1180,Esparza PLC,5,Office Supplies,Net 30,42,94.01,5,2814239
1181,Butler PLC,8,Packaging,Net 60,42,87.8,9,1309909
1182,Elliott Group,2,Facilities,Immediate,25,74.25,9,2501174
1183,"Griffin, Mosley and Ellis",10,Marketing,Net 30,11,95.64,6,2123788
1184,Brown Inc,1,Manufacturing,Immediate,28,96.4,3,393638
1185,Chavez LLC,5,Packaging,Advance,9,70.31,5,1624782
1186,Petersen-Wilson,3,Office Supplies,Net 60,31,99.61,6,2112637
1187,Stewart-Sheppard,10,Electronics,Immediate,12,74.36,7,2197700
1188,Vega PLC,9,IT Services,Net 60,31,83.73,5,2767163
1189,"Sheppard, Smith and Myers",10,Office Supplies,Advance,9,73.27,7,783550
1190,"Armstrong, Tucker and Lewis",10,Packaging,Net 60,20,74.77,9,2476507
1191,Brandt-Hunter,8,Raw Materials,Immediate,15,89.51,4,2807011
1192,Johnson-Stevenson,2,Marketing,Net 60,14,87.82,4,1912262
1193,Rosales LLC,3,Electronics,Net 60,29,91.67,3,2004458
1194,David-Higgins,1,Professional Services,Net 30,24,71.44,3,161208
1195,Cruz Inc,7,Logistics,Immediate,26,87.48,2,1341603
1196,Miller-Ramirez,7,Facilities,Net 45,16,85.45,7,1940965
1197,"Rice, Williams and Willis",1,Facilities,Net 30,29,81.67,2,2104846
1198,"Page, Zimmerman and Tanner",2,Marketing,Immediate,44,71.5,4,1852561
1199,Parker PLC,7,IT Services,Net 30,16,76.25,7,1754748
1200,Gibson Ltd,4,Electronics,Immediate,44,82.68,7,749130
1201,Joyce-Hansen,6,Office Supplies,Net 30,33,99.22,4,741250
1202,"Rowe, Smith and Smith",1,Logistics,Net 30,20,79.11,6,714790
1203,Pittman-Burgess,7,Packaging,Net 30,18,94.02,1,1460767
1204,Holt PLC,1,Office Supplies,Immediate,23,85.23,5,1713998
1205,Campos-Tucker,8,Marketing,Net 30,32,92.42,2,1212561
1206,Cook Group,4,Office Supplies,Net 60,27,87.18,4,484206
1207,Walls-Kaiser,10,Packaging,Net 60,11,70.96,5,1840513
1208,"Dudley, Smith and Powell",9,Packaging,Immediate,31,86.16,7,2084636
1209,Graham-Vasquez,2,Office Supplies,Net 45,9,92.99,2,2298034
1210,Johnson LLC,8,Raw Materials,Immediate,35,92.7,10,1332492
1211,"Anderson, Harvey and Nichols",10,Facilities,Net 30,29,85.17,8,2349278
1212,Price-Noble,5,Office Supplies,Net 45,7,70.66,3,149533
1213,Sherman PLC,8,Manufacturing,Net 60,38,94.11,6,583046
1214,"Adams, Clark and Mcclure",9,Manufacturing,Net 45,27,87.32,9,2410283
1215,Wells PLC,6,Manufacturing,Net 30,19,78.13,10,2974217
1216,Gutierrez and Sons,8,Electronics,Net 60,23,82.77,7,687823
1217,"Adams, Hogan and Bryan",2,Facilities,Advance,6,92.04,2,1536858
1218,"Ware, Thomas and Paul",3,Electronics,Immediate,8,86.69,3,865074
1219,"Chavez, Davis and Reed",9,IT Services,Advance,39,73.26,8,362716
1220,Ortiz Inc,3,Electronics,Immediate,33,89.88,10,2585912
1221,Hernandez and Sons,3,Office Supplies,Net 45,9,82.09,2,2040325
1222,Velazquez Inc,7,Logistics,Net 45,28,98.75,2,2987426
1223,"Williams, Irwin and Campbell",9,Raw Materials,Immediate,42,89.12,10,1999490
1224,Lawrence-Russell,10,Raw Materials,Net 45,17,80.87,7,2510321
1225,"Daniels, Phillips and Hill",5,Electronics,Net 30,42,72.47,1,2476683
1226,"Richmond, Howard and Morgan",1,Manufacturing,Net 30,17,81.78,6,838097
1227,Calhoun-Williams,3,IT Services,Net 60,44,74.03,5,489549
1228,"Coleman, Owen and Levy",8,Facilities,Advance,39,92.5,3,2596152
1229,"Spencer, Thomas and Torres",7,IT Services,Net 60,26,74.39,7,2749327
1230,Reed and Sons,1,Raw Materials,Net 60,11,89.31,10,1362533
1231,Haynes-Atkins,2,Facilities,Net 45,36,96.52,9,1196092
1232,"King, Crawford and Davis",5,Electronics,Immediate,25,99.65,5,522933
1233,Schroeder LLC,3,Professional Services,Net 45,9,77.34,9,254735
1234,Delgado Ltd,4,Professional Services,Immediate,35,75.82,6,2775373
1235,Mejia-Lee,1,Raw Materials,Advance,31,98.13,2,1108370
1236,"Burnett, Short and Walters",10,Logistics,Immediate,20,78.26,2,227763
1237,Lee-Williams,5,Logistics,Advance,39,89.64,6,1412757
1238,Stevenson-Berry,8,Office Supplies,Advance,38,84.64,7,726228
1239,Melendez-Green,5,Facilities,Net 45,40,76.71,6,2594174
1240,Campbell-Allen,8,Manufacturing,Net 45,44,85.17,7,1158253
1241,Cisneros-Stevens,9,Marketing,Net 60,20,74.17,9,432841
1242,Hickman PLC,3,Packaging,Immediate,22,83.86,7,1096152
1243,Smith-Johnson,2,IT Services,Immediate,16,96.45,4,1978293
1244,Reed-Cox,8,Facilities,Net 45,45,93.09,9,119806
1245,"Luna, Duncan and Price",8,Professional Services,Immediate,38,73.32,7,1595427
1246,Moore PLC,1,Office Supplies,Immediate,42,70.96,6,2806557
1247,Howard PLC,4,Logistics,Immediate,19,78.56,1,2389702
1248,"Fisher, Simmons and Green",8,Professional Services,Net 30,14,97.82,9,2618205
1249,Little and Sons,7,Professional Services,Net 60,24,74.39,3,2126344
1250,"Mcintyre, Crawford and Bowen",3,Facilities,Net 60,32,83.05,1,1927103
1251,Jones-Mcdonald,3,Packaging,Net 30,43,95.73,9,892942
1252,"Richardson, Black and Pruitt",7,Manufacturing,Net 45,20,86.57,1,1216042
1253,Myers-Rogers,7,Electronics,Net 45,39,78.55,2,1564727
1254,Reed-Armstrong,8,Office Supplies,Immediate,30,85.51,8,1927546
1255,Nguyen and Sons,8,Manufacturing,Net 30,19,72.33,7,130052
1256,Phelps Ltd,5,Packaging,Net 30,23,70.73,7,1396117
1257,Norris and Sons,7,Facilities,Net 45,6,91.84,7,2761501
1258,Reed-Hernandez,3,Facilities,Immediate,6,70.3,5,907208
1259,Clark Group,9,Packaging,Net 30,19,79.33,1,76700
1260,"Yates, Molina and Hopkins",6,Manufacturing,Advance,36,88.44,10,1404366
1261,"Ford, Arroyo and Rodriguez",6,Professional Services,Net 30,34,96.2,3,749462
1262,Rodriguez-Pratt,2,Packaging,Net 45,25,73.68,10,1004831
1263,Rodriguez-Sanchez,6,Professional Services,Net 30,33,75.64,6,1974275
1264,Nash-Harris,1,Marketing,Immediate,41,99.6,8,2538076
1265,Zimmerman PLC,10,Logistics,Immediate,25,97.01,5,89873
1266,Castro-House,4,Marketing,Immediate,16,81.81,3,1287853
1267,Weaver-Savage,5,Manufacturing,Net 45,30,95.39,4,1815405
1268,Robinson LLC,2,Electronics,Net 60,22,80.24,7,2775651
1269,"Maxwell, Harmon and Davis",5,Electronics,Net 60,19,81.21,9,2949516
1270,"Brown, Odonnell and Mcgrath",8,Logistics,Net 60,10,82.52,6,1300856
1271,Ryan Group,10,Electronics,Net 60,14,82.81,2,637026
1272,Cisneros Group,9,Electronics,Net 30,29,91.36,3,531540
1273,Mitchell LLC,1,Marketing,Net 45,26,75.33,9,2363942
1274,"Macdonald, Evans and Lawson",1,IT Services,Immediate,7,80.76,7,812610
1275,Mahoney-Smith,5,Logistics,Net 60,9,80.66,10,1996417
1276,Anderson-Martin,1,Professional Services,Immediate,5,80.56,6,306739
1277,Jones PLC,6,Manufacturing,Net 60,16,82.64,4,2396147
1278,Russell LLC,1,Facilities,Immediate,19,96.07,2,843903
1279,Bryan and Sons,4,Manufacturing,Net 30,37,78.5,3,710759
1280,Brooks Inc,1,Electronics,Advance,19,96.81,8,1886083
1281,Dixon Inc,2,Raw Materials,Net 30,12,94.84,7,384679
1282,"Hill, Webster and Hall",6,Office Supplies,Net 45,45,72.99,2,134102
1283,Daniels PLC,8,Electronics,Net 45,17,84.19,9,329189
1284,"Ruiz, Peterson and Turner",2,IT Services,Net 30,20,80.13,2,151137
1285,Jackson-Ellis,4,Professional Services,Net 60,7,95.13,4,2558662
1286,Alvarado-Butler,1,Electronics,Immediate,35,92.36,1,1121070
1287,Hampton Group,3,Office Supplies,Advance,23,98.62,4,565499
1288,Vaughan Inc,9,Office Supplies,Net 45,35,83.48,1,401263
1289,Long Group,5,Raw Materials,Net 45,27,82.37,7,2638648
1290,White and Sons,10,Manufacturing,Net 45,45,73.15,9,1889247
1291,White-Miller,3,IT Services,Net 30,37,72.37,8,207918
1292,"Bradley, Whitney and Wright",3,Professional Services,Net 45,39,96.42,4,147502
1293,"Williams, Noble and White",5,Office Supplies,Net 60,23,85.38,7,1242563
1294,Rogers-Hansen,9,Marketing,Net 60,8,89.32,3,1137622
1295,Tran-Pierce,9,Raw Materials,Net 30,24,86.3,1,345225
1296,Glover-Thomas,6,Raw Materials,Advance,42,87.71,7,2180973
1297,Morris LLC,5,IT Services,Immediate,42,84.65,2,2690538
1298,Carson-Fields,6,Office Supplies,Net 60,37,85.05,6,2171993
1299,Peters-Carter,2,Professional Services,Immediate,32,87.08,2,829476
1300,"Barnes, Todd and Hardin",2,IT Services,Net 45,11,97.77,6,2887577
1301,Ford-Ayala,5,Packaging,Net 30,8,73.58,7,2524520
1302,Wang-Page,10,Manufacturing,Advance,23,98.22,1,1375130
1303,"Hardin, Gonzalez and Hancock",9,IT Services,Advance,31,82.95,3,1656252
1304,Campbell and Sons,6,Facilities,Net 30,39,72.96,5,657351
1305,Chavez-Williams,5,Electronics,Advance,10,71.1,4,2422877
1306,"Ray, Morrow and Ortiz",2,Marketing,Net 60,15,77.19,8,2990050
1307,Stewart LLC,10,Marketing,Net 45,15,86.44,3,1506147
1308,"Barry, Underwood and Christensen",1,Marketing,Net 60,11,86.18,7,1836681
1309,"Cline, Pittman and Morgan",2,IT Services,Net 45,41,91.51,2,755792
1310,Simpson-Meyer,7,Electronics,Advance,6,97.57,10,1688674
1311,Hernandez-Edwards,8,Professional Services,Immediate,13,85.47,3,647266
1312,"Mcdonald, Carr and Kline",4,IT Services,Net 60,21,90.44,10,1319045
1313,Sharp-Hill,8,IT Services,Immediate,43,98.29,5,999777
1314,Brennan-Harper,2,Packaging,Net 30,45,86.27,6,1334087
1315,Cox PLC,5,Packaging,Net 30,12,99.89,1,1062656
1316,Thompson-Davis,3,Facilities,Net 60,18,79.34,8,1683046
1317,Parker LLC,10,IT Services,Net 45,42,85.52,3,2428161
1318,Jones-Maxwell,2,Manufacturing,Net 45,28,80.36,8,1745185
1319,Anderson PLC,9,Manufacturing,Advance,43,72.4,9,1117715
1320,Robinson-Mclean,9,Manufacturing,Net 60,27,82.02,8,1977445
1321,"Wheeler, Willis and Reed",10,Logistics,Immediate,23,77.28,1,1060718
1322,"Pope, Carter and Medina",6,Manufacturing,Net 60,37,91.61,7,2115476
1323,Koch PLC,9,Raw Materials,Net 45,14,80.6,3,2420896
1324,Guerra-Willis,5,IT Services,Immediate,36,75.58,9,544022
1325,Wilson-Williams,10,Raw Materials,Advance,12,86.16,4,374135
1326,Woods LLC,9,IT Services,Advance,30,87.18,10,2269929
1327,Vega-Brewer,9,Facilities,Net 30,6,99.56,1,317018
1328,Powell-Cunningham,3,Electronics,Net 45,45,85.97,2,1944997
1329,Garrett-Moore,8,IT Services,Net 30,19,83.26,8,2407065
1330,"Clark, Smith and Davis",10,Manufacturing,Advance,31,97.29,3,689450
1331,Cantu-Kelly,1,Manufacturing,Immediate,20,97.07,7,1180994
1332,Jones Group,8,Office Supplies,Advance,36,91.43,6,866909
1333,"Hernandez, Chambers and Henderson",6,Logistics,Net 60,31,87.63,4,673348
1334,Perkins LLC,1,Electronics,Net 30,15,83.04,10,801961
1335,Kennedy-Walters,6,Facilities,Immediate,32,81.57,5,1292744
1336,"Beasley, Duncan and Ramos",4,Professional Services,Net 60,8,84.81,9,550533
1337,"Preston, Perry and Howe",2,Packaging,Advance,42,70.21,10,618324
1338,Williams-Tate,7,Logistics,Net 30,11,73.77,9,2542512
1339,"Oliver, Davis and Martin",3,Raw Materials,Net 60,7,71.4,7,1113121
1340,"Green, Garcia and Benson",5,Electronics,Net 45,25,87.15,3,973939
1341,Perez-Norton,6,Packaging,Net 30,41,82.49,9,2784695
1342,Walker-Barker,7,Logistics,Net 30,45,79.48,2,2387722
1343,"Horne, Pierce and Evans",9,Electronics,Advance,32,78.97,9,2601792
1344,Chung-Rogers,3,Packaging,Net 45,30,90.58,9,701612
1345,"Burton, Diaz and Harris",1,Office Supplies,Net 45,33,88.54,7,805217
1346,King LLC,4,Raw Materials,Net 45,26,93.7,8,2755858
1347,Johnson-Dorsey,7,Manufacturing,Net 30,24,85.76,7,2856420
1348,Chambers-Gilbert,2,Office Supplies,Net 30,27,91.33,10,2207056
1349,Donaldson-Carroll,2,Facilities,Net 30,45,91.24,5,1676944
1350,"Chaney, Williams and Ward",8,IT Services,Immediate,15,77.73,10,2917731
1351,"Mendoza, Taylor and Watson",1,Manufacturing,Net 60,30,81.28,6,745608
1352,Robinson PLC,8,Raw Materials,Net 30,26,85.48,2,1295748
1353,"Osborn, Tucker and Gillespie",1,Logistics,Advance,16,72.9,4,287658
1354,"Aguilar, Mcintyre and Williams",5,Electronics,Advance,27,90.57,9,659970
1355,"Farmer, Carter and Perez",1,Packaging,Net 30,6,78.47,2,1593637
1356,Smith-Riley,9,Professional Services,Immediate,26,92.17,2,754241
1357,Gross Ltd,4,Professional Services,Net 30,13,90.39,1,1791869
1358,"Black, Baldwin and Fernandez",7,Logistics,Advance,27,80.03,4,428320
1359,Schmidt Inc,3,Raw Materials,Net 45,33,92.39,3,193311
1360,"Howard, Johnson and Graham",5,Raw Materials,Immediate,44,94.75,9,1475394
1361,Garcia-Long,4,Professional Services,Immediate,39,82.82,4,2429653
1362,Lopez Group,8,Logistics,Immediate,38,90.27,5,837955
1363,Moody-Barnett,7,Facilities,Net 60,36,90.02,1,1303399
1364,Gaines-Andrade,5,Raw Materials,Net 45,35,96.77,10,1647990
1365,"Contreras, Hess and Little",4,Manufacturing,Net 30,32,99.8,3,480979
1366,Sosa Group,7,Logistics,Net 60,22,87.03,3,913850
