Product_ID,Supplier_ID,Product_Name,Category,Unit_Cost,MOQ,Annual_Demand
5103,1528,Magazine Product,Server,1777.45,455,11204
5104,1759,Require Product,Furniture,1851.59,455,4986
5105,1058,Goal Product,Laptop,567.68,476,3981
5106,1758,Class Product,Networking,4704.12,115,14965
5107,1879,Red Product,Software License,4467.28,352,12685
5108,1588,Per Product,Industrial Parts,2674.52,78,195
5109,1812,Call Product,Networking,2140.28,498,4443
5110,1856,Suffer Product,Networking,2674.4,191,14469
5111,1162,Five Product,Furniture,3052.19,323,412
5112,1801,Notice Product,Laptop,4530.6,210,14944
5113,1397,Character Product,Packaging,3061.24,223,5628
5114,1713,Nation Product,Industrial Parts,3566.45,262,4396
5115,1531,Energy Product,Raw Material,4971.06,470,10515
5116,1406,Their Product,Packaging,3667.9,303,5708
5117,1279,Question Product,Raw Material,1025.34,457,6057
5118,1525,Next Product,Networking,4865.66,103,7773
5119,1156,Quite Product,Networking,848.94,251,11571
5120,1356,Charge Product,Software License,1170.91,383,7694
5121,1895,Hear Product,Electronics,3737.74,296,6571
5122,1842,Matter Product,Packaging,1664.25,62,2347
5123,1917,Democratic Product,Electronics,4819.29,255,13061
5124,1999,Might Product,Laptop,4110.33,114,11093
5125,1998,Husband Product,Electronics,1172.86,153,13689
5126,1411,Increase Product,Industrial Parts,3156.88,142,12195
5127,1032,Than Product,Raw Material,2950.09,121,4150
5128,1347,Song Product,Electronics,2608.54,482,1931
5129,1899,Teacher Product,Office Equipment,2619.74,389,12379
5130,1535,Space Product,Office Equipment,1780.51,86,2789
5131,1379,Family Product,Office Equipment,148.6,188,5518
5132,1811,Feeling Product,Software License,330.77,90,4406
5133,1766,Condition Product,Packaging,4605.3,418,9408
5134,1285,Role Product,Laptop,2626.04,137,1801
5135,1246,Direction Product,Server,3731.58,305,11519
5136,1515,Successful Product,Electronics,4905.08,61,2500
5137,1559,Color Product,Software License,2560.69,233,13227
5138,1472,Country Product,Networking,1492.48,181,10265
5139,1286,Growth Product,Raw Material,2427.0,475,975
5140,1855,Inside Product,Laptop,3134.53,72,13210
5141,1303,Appear Product,Industrial Parts,1991.4,175,1164
5142,1406,Author Product,Packaging,4769.9,91,10008
5143,1583,Long Product,Software License,2701.46,280,969
5144,1289,Another Product,Server,4710.05,132,13511
5145,1297,Source Product,Office Equipment,2359.31,47,10512
5146,1872,Hour Product,Networking,2776.78,126,12312
5147,1769,Camera Product,Office Equipment,4170.41,447,12461
5148,1774,Test Product,Packaging,4679.24,400,14204
5149,1944,Raise Product,Raw Material,1165.42,47,8451
5150,1999,Among Product,Networking,1942.18,271,1842
5151,1743,Civil Product,Electronics,3598.09,447,787
5152,1743,Remain Product,Server,2707.11,425,9138
5153,1224,Year Product,Raw Material,4182.89,399,3521
5154,1718,City Product,Server,2558.49,314,4675
5155,1706,Against Product,Packaging,404.21,63,1759
5156,1720,Measure Product,Raw Material,1581.3,472,14283
5157,1312,Word Product,Server,760.98,257,2967
5158,1579,Power Product,Electronics,4100.88,172,7451
5159,1608,Grow Product,Server,1907.98,359,7651
5160,1636,Turn Product,Industrial Parts,526.18,275,588
5161,1595,Phone Product,Industrial Parts,3748.69,144,9793
5162,1955,Social Product,Office Equipment,1280.97,489,10489
5163,1772,Into Product,Server,1424.26,205,8299
5164,1284,Water Product,Office Equipment,3119.82,452,7342
5165,1812,Network Product,Raw Material,2317.27,32,10562
5166,1509,Building Product,Office Equipment,1277.86,72,12897
5167,1152,Religious Product,Packaging,4832.54,473,7870
5168,1840,Teacher Product,Packaging,3357.22,44,3809
5169,1164,Rather Product,Office Equipment,2973.84,407,12826
5170,1699,Six Product,Electronics,4726.34,159,14416
5171,1298,Threat Product,Server,3363.46,69,12891
5172,1993,Catch Product,Software License,737.7,291,8476
5173,1745,Well Product,Server,4137.02,63,4538
5174,1366,Pass Product,Software License,4083.1,349,12845
5175,1729,Nice Product,Packaging,1131.0,273,6148
5176,1945,Probably Product,Server,3135.99,79,14113
5177,1894,White Product,Industrial Parts,4589.43,313,11798
5178,1794,Future Product,Furniture,3545.11,136,7459
5179,1261,Especially Product,Packaging,2998.06,152,763
5180,1373,Billion Product,Software License,290.95,189,9912
5181,1225,Plant Product,Office Equipment,3707.97,376,10358
5182,1035,East Product,Furniture,1306.19,462,10334
5183,1285,What Product,Laptop,2419.8,342,1298
5184,1703,Look Product,Electronics,4796.2,455,4995
5185,1217,Well Product,Networking,2640.53,91,4310
5186,1752,Leg Product,Networking,4093.07,443,2298
5187,1651,Blue Product,Office Equipment,190.57,101,10376
5188,1167,Camera Product,Industrial Parts,1958.04,323,13002
5189,1196,Receive Product,Laptop,987.85,90,10564
5190,1118,Camera Product,Laptop,2478.63,115,2746
5191,1221,Term Product,Furniture,2906.39,287,4962
5192,1823,Marriage Product,Raw Material,2285.51,92,5928
5193,1225,Before Product,Office Equipment,4092.34,464,2167
5194,1217,Value Product,Software License,1700.49,61,7331
5195,1747,Outside Product,Packaging,1012.42,364,10984
5196,1164,Head Product,Electronics,1938.27,42,9679
5197,1526,American Product,Industrial Parts,4282.93,370,12615
5198,1682,Effort Product,Furniture,54.19,206,9625
5199,1792,Show Product,Software License,1761.59,206,5209
5200,1140,Policy Product,Laptop,1617.62,233,12860
5201,1756,Join Product,Laptop,4959.16,268,1451
5202,1345,Live Product,Office Equipment,1697.61,195,3110
5203,1675,Training Product,Software License,3032.95,232,3154
5204,1295,Guy Product,Server,1533.71,165,5259
5205,1100,Small Product,Server,2803.71,39,5865
5206,1870,Woman Product,Industrial Parts,4920.81,372,3602
5207,1412,Fine Product,Furniture,2496.58,328,2400
5208,1682,Dog Product,Electronics,3617.76,362,2847
5209,1255,On Product,Server,3041.65,352,7556
5210,1970,Quality Product,Software License,4335.32,367,9312
5211,1604,Run Product,Raw Material,567.93,426,1311
5212,1137,Data Product,Software License,841.15,84,8894
5213,1136,Police Product,Laptop,2640.74,410,14165
5214,1048,Carry Product,Raw Material,1422.46,120,5610
5215,1190,Tv Product,Raw Material,4681.33,78,1523
5216,1138,Dinner Product,Software License,527.11,35,878
5217,1105,Matter Product,Laptop,2185.67,53,13792
5218,1388,Plan Product,Server,959.66,392,4146
5219,1814,According Product,Packaging,2687.72,267,5914
5220,1377,Example Product,Packaging,3848.27,494,867
5221,1701,Either Product,Office Equipment,347.49,179,12748
5222,1518,This Product,Furniture,4038.38,146,1684
5223,1709,Technology Product,Networking,2939.33,180,2567
5224,1796,Large Product,Networking,1541.49,479,11126
5225,1774,Wind Product,Networking,4907.76,292,136
5226,1396,Adult Product,Furniture,2467.19,302,6707
5227,1031,Accept Product,Electronics,215.31,16,2377
5228,1569,Few Product,Software License,2279.46,447,13561
5229,1755,Debate Product,Networking,1290.93,225,5961
5230,1884,Dream Product,Software License,1777.81,341,10620
5231,1633,Away Product,Software License,2719.5,22,6989
5232,1766,Different Product,Software License,818.41,32,13242
5233,1430,Process Product,Software License,4298.26,412,9113
5234,1632,Author Product,Packaging,2012.39,24,496
5235,1011,Interesting Product,Software License,1801.22,444,4176
5236,1338,Position Product,Raw Material,1808.39,219,1298
5237,1790,Company Product,Raw Material,4451.12,430,11919
5238,1982,Value Product,Electronics,1738.37,49,14838
5239,1903,Less Product,Server,4104.21,80,2644
5240,1710,Analysis Product,Industrial Parts,3731.06,88,12991
5241,1687,Son Product,Raw Material,1036.2,300,11771
5242,1223,State Product,Industrial Parts,3747.68,324,13770
5243,1329,College Product,Server,4266.68,242,6169
5244,1997,Determine Product,Packaging,1220.07,189,14718
5245,1602,Cell Product,Networking,3044.0,370,4590
5246,1845,Or Product,Electronics,211.56,276,9271
5247,1048,Message Product,Server,4415.82,195,14775
5248,1068,Natural Product,Electronics,515.53,219,9738
5249,1067,Rise Product,Laptop,1429.09,99,12281
5250,1703,Positive Product,Packaging,2336.32,422,5690
5251,1641,Concern Product,Packaging,4534.08,266,11675
5252,1120,Last Product,Raw Material,2420.02,143,14788
5253,1346,Certainly Product,Office Equipment,1502.52,236,8213
5254,1901,Information Product,Furniture,1712.37,290,943
5255,1280,While Product,Laptop,2873.3,118,3674
5256,1193,Tell Product,Server,1091.2,261,13432
5257,1220,Task Product,Raw Material,4899.17,258,14600
5258,1149,Walk Product,Laptop,3867.64,249,5682
5259,1207,Yeah Product,Networking,2828.51,279,13865
5260,1366,Notice Product,Electronics,2811.31,91,13867
5261,1456,Special Product,Raw Material,585.55,305,7242
5262,1551,Blood Product,Server,4031.01,440,8394
5263,1640,Real Product,Furniture,1476.99,359,6199
5264,1449,Executive Product,Packaging,999.29,471,12719
5265,1628,Southern Product,Server,511.52,210,5178
5266,1297,Education Product,Laptop,3068.11,45,4682
5267,1966,Kitchen Product,Networking,2660.45,342,7920
5268,1867,Whether Product,Packaging,3928.98,63,11687
5269,1073,Energy Product,Networking,4222.13,403,6720
5270,1467,Assume Product,Networking,3426.39,401,12717
5271,1775,Learn Product,Office Equipment,308.23,304,3432
5272,1705,Bad Product,Industrial Parts,2016.24,299,12829
5273,1907,Especially Product,Electronics,4457.41,377,3577
5274,1571,Among Product,Networking,4748.6,28,8465
5275,1032,Happen Product,Furniture,437.35,346,4023
5276,1773,His Product,Electronics,1477.8,399,13708
5277,1183,Alone Product,Server,4352.01,165,12745
5278,1027,You Product,Laptop,2657.99,237,11812
5279,1556,Though Product,Server,209.69,394,8215
5280,1600,See Product,Electronics,1223.97,288,3161
5281,1701,Read Product,Networking,1924.38,489,3499
5282,1751,Receive Product,Office Equipment,1764.3,159,13316
5283,1958,Change Product,Laptop,1211.82,436,2228
5284,1691,Thus Product,Laptop,2716.48,479,10381
5285,1651,Up Product,Furniture,2672.59,126,10163
5286,1567,Easy Product,Raw Material,2184.19,407,858
5287,1165,Then Product,Office Equipment,2938.31,30,4736
5288,1850,State Product,Server,2960.32,318,10106
5289,1212,Keep Product,Furniture,1692.92,171,9039
5290,1573,Minute Product,Packaging,2794.35,376,8668
5291,1576,If Product,Raw Material,1230.02,83,13886
5292,1105,Likely Product,Packaging,3428.85,482,9003
5293,1474,Reveal Product,Office Equipment,3935.22,385,10818
5294,1778,Letter Product,Industrial Parts,4196.18,342,868
5295,1957,Whose Product,Server,2818.05,77,8447
5296,1169,Here Product,Packaging,1054.98,219,11871
5297,1836,Seem Product,Laptop,3779.19,78,7539
5298,1221,Recently Product,Raw Material,1596.03,22,5579
5299,1878,Research Product,Packaging,2910.44,249,5183
5300,1603,Picture Product,Office Equipment,1254.7,127,7191
5301,1686,Late Product,Networking,4300.74,325,6232
5302,1040,This Product,Industrial Parts,1471.79,65,11547
5303,1026,Feeling Product,Furniture,3381.66,136,1619
5304,1209,Section Product,Networking,4665.42,489,2899
5305,1165,Purpose Product,Networking,3241.51,280,4247
5306,1064,Usually Product,Packaging,1699.93,177,8342
5307,1440,Early Product,Laptop,4834.15,428,9232
5308,1383,Military Product,Networking,235.72,181,14178
5309,1343,Type Product,Laptop,386.71,415,9277
5310,1645,Successful Product,Furniture,3972.66,422,14897
5311,1079,Green Product,Software License,3797.81,410,7770
5312,1134,Election Product,Electronics,1119.83,473,13473
5313,1959,Move Product,Packaging,2954.61,302,12923
5314,1096,Tonight Product,Furniture,3643.94,271,2081
5315,1803,Understand Product,Office Equipment,62.94,164,7579
5316,1949,Above Product,Software License,2273.46,362,9055
5317,1848,Participant Product,Office Equipment,1833.54,248,6887
5318,1426,Standard Product,Packaging,1580.26,298,13712
5319,1959,Feel Product,Software License,4657.04,215,3641
5320,1237,The Product,Industrial Parts,3025.29,476,3016
5321,1734,Office Product,Laptop,2004.77,99,14800
5322,1999,Country Product,Server,2301.9,15,6588
5323,1922,Run Product,Office Equipment,1180.37,484,824
5324,1813,Baby Product,Electronics,320.05,150,10876
5325,1911,A Product,Laptop,1870.93,39,6518
5326,1333,Purpose Product,Raw Material,3755.85,31,14359
5327,1792,Person Product,Networking,3091.03,10,12659
5328,1147,Even Product,Office Equipment,477.87,75,10479
5329,1165,Pm Product,Laptop,4196.28,87,8002
5330,1540,History Product,Server,3057.62,253,11048
5331,1924,Really Product,Software License,1152.82,137,10356
5332,1028,Next Product,Industrial Parts,3912.03,123,3415
5333,1420,Visit Product,Industrial Parts,2398.75,14,7456
5334,1050,Work Product,Raw Material,1584.5,340,11023
5335,1646,Time Product,Software License,2293.37,100,9818
5336,1138,Pm Product,Laptop,339.32,131,13054
5337,1358,Know Product,Raw Material,1327.09,345,8352
5338,1589,Industry Product,Office Equipment,1199.74,478,9018
5339,1547,Pass Product,Industrial Parts,3613.21,406,1812
5340,1552,Nice Product,Software License,840.02,346,7271
5341,1681,Above Product,Electronics,1310.28,149,419
5342,1388,Network Product,Electronics,1741.61,195,7587
5343,1689,Simply Product,Furniture,4146.37,34,828
5344,1171,Billion Product,Electronics,4995.64,298,7946
5345,1733,Single Product,Furniture,4474.32,52,2421
5346,1674,Admit Product,Laptop,1830.15,449,1381
5347,1102,Medical Product,Industrial Parts,1399.69,277,2850
5348,1006,Treatment Product,Industrial Parts,2857.42,249,9676
5349,1715,My Product,Electronics,1563.29,318,8798
5350,1254,Drug Product,Furniture,4435.74,240,12775
5351,1586,Someone Product,Raw Material,2581.33,242,577
5352,1617,Safe Product,Electronics,4586.19,346,3999
5353,1519,Care Product,Networking,231.31,166,4407
5354,1281,Herself Product,Industrial Parts,3561.64,16,14612
5355,1352,Hard Product,Office Equipment,3115.1,354,12265
5356,1863,Friend Product,Networking,2773.5,342,11688
5357,1759,Girl Product,Industrial Parts,4966.89,397,14332
5358,1701,Trade Product,Raw Material,2974.3,321,4129
5359,1748,Letter Product,Office Equipment,3880.71,402,9532
5360,1360,Technology Product,Server,3110.04,475,7226
5361,1808,Here Product,Industrial Parts,461.83,152,3785
5362,1418,Case Product,Server,2106.47,374,14292
5363,1401,Accept Product,Laptop,4589.77,191,11029
5364,1178,Care Product,Software License,493.15,57,2939
5365,1497,Magazine Product,Software License,4328.21,281,3910
5366,1401,Business Product,Server,511.82,291,8082
5367,1283,Require Product,Software License,1992.9,314,4337
5368,1597,Then Product,Software License,1301.48,282,14027
5369,1326,Most Product,Furniture,3934.78,185,9801
5370,1280,And Product,Electronics,4558.64,41,5098
5371,1884,Third Product,Software License,3648.42,175,289
5372,1531,Of Product,Office Equipment,2886.35,233,7539
5373,1374,Smile Product,Office Equipment,3824.75,436,4746
5374,1579,Lot Product,Networking,971.51,185,9362
5375,1890,Nearly Product,Furniture,2677.5,246,11295
5376,1215,According Product,Electronics,4762.86,40,8751
5377,1996,Pull Product,Laptop,1610.56,439,4254
5378,1100,Walk Product,Furniture,3633.75,264,11923
5379,1810,Your Product,Networking,282.85,462,6755
5380,1578,Real Product,Electronics,2027.78,38,3226
5381,1853,Down Product,Software License,4895.79,425,381
5382,1309,Difference Product,Furniture,1166.71,49,4914
5383,1662,Than Product,Software License,1342.2,358,7018
5384,1484,Individual Product,Industrial Parts,334.72,32,11981
5385,1219,Start Product,Software License,2001.96,257,8012
5386,1101,Write Product,Industrial Parts,2016.13,228,8581
5387,1198,Fear Product,Laptop,2424.96,500,13958
5388,1459,Table Product,Software License,1690.71,451,12641
5389,1717,Finish Product,Software License,3124.02,285,12679
5390,1553,Theory Product,Packaging,3621.6,244,9608
5391,1464,However Product,Industrial Parts,3989.35,468,8969
5392,1397,Western Product,Server,408.03,44,13494
5393,1628,International Product,Software License,4299.5,76,143
5394,1970,Ability Product,Office Equipment,72.4,425,13615
5395,1478,Artist Product,Raw Material,4581.4,59,10642
5396,1815,Mean Product,Raw Material,4475.33,465,13851
5397,1342,So Product,Raw Material,4228.04,124,7371
5398,1174,Staff Product,Software License,3332.17,389,8854
5399,1753,Pattern Product,Packaging,2977.3,420,2744
5400,1927,Response Product,Raw Material,4373.59,136,9927
5401,1673,Style Product,Office Equipment,1149.51,230,10930
5402,1840,Size Product,Packaging,1829.27,175,6904
5403,1047,Itself Product,Server,4837.52,72,11029
5404,1818,Program Product,Packaging,4759.74,494,13646
5405,1042,Make Product,Software License,2179.63,62,5990
5406,1728,Every Product,Electronics,1355.14,255,9591
5407,1995,Through Product,Industrial Parts,411.91,95,5630
5408,1517,Employee Product,Furniture,813.25,467,3599
5409,1666,Whose Product,Raw Material,4233.88,250,8813
5410,1295,Culture Product,Networking,2868.14,436,4572
5411,1632,Ball Product,Raw Material,3886.53,374,8840
5412,1356,Large Product,Server,982.21,224,10918
5413,1755,Result Product,Server,4144.27,308,360
5414,1637,Security Product,Server,3173.42,425,12028
5415,1567,Hear Product,Raw Material,4896.85,160,1470
5416,1325,Charge Product,Raw Material,1941.66,218,13026
5417,1951,Break Product,Server,4214.76,499,11712
5418,1995,Radio Product,Software License,1394.52,23,1757
5419,1016,Window Product,Electronics,4685.18,26,6173
5420,1235,Machine Product,Furniture,1980.5,292,2598
5421,1151,Blue Product,Raw Material,2994.3,65,14031
5422,1908,Ready Product,Software License,3293.8,83,12964
5423,1251,Operation Product,Networking,277.78,181,5320
5424,1464,Toward Product,Furniture,2750.34,379,10716
5425,1734,Type Product,Office Equipment,4580.15,20,6385
5426,1595,Music Product,Office Equipment,1864.17,171,7767
5427,1837,Inside Product,Networking,756.68,305,9313
5428,1089,Decade Product,Packaging,3113.08,144,6163
5429,1936,Behavior Product,Software License,2860.69,50,4100
5430,1111,Capital Product,Software License,4777.33,339,7067
5431,1288,Have Product,Networking,3519.74,382,12209
5432,1230,Conference Product,Packaging,4102.26,69,13911
5433,1133,Future Product,Laptop,1288.18,164,9009
5434,1879,Drop Product,Industrial Parts,3100.39,308,12067
5435,1144,Whom Product,Laptop,1571.92,500,7224
5436,1318,Article Product,Industrial Parts,1017.76,295,3341
5437,1024,Campaign Product,Networking,1152.38,415,12468
5438,1102,Son Product,Server,1840.03,455,8460
5439,1698,Human Product,Networking,464.69,278,585
5440,1484,Adult Product,Packaging,3022.63,180,13652
5441,1116,Early Product,Laptop,2469.86,482,1188
5442,1122,Network Product,Electronics,4456.37,51,12914
5443,1616,Door Product,Packaging,4630.45,422,14470
5444,1607,Pass Product,Office Equipment,1163.51,117,14363
5445,1203,Decade Product,Networking,1075.79,159,5856
5446,1724,Source Product,Office Equipment,1542.3,266,9792
5447,1174,Into Product,Networking,4736.42,345,7311
5448,1216,Activity Product,Server,1061.57,215,3450
5449,1389,Finally Product,Packaging,4091.2,472,476
5450,1201,Leader Product,Raw Material,2470.77,119,6388
5451,1282,Usually Product,Raw Material,155.84,433,10960
5452,1112,Manage Product,Furniture,1150.5,450,305
5453,1908,Argue Product,Furniture,3044.3,13,8945
5454,1625,Reveal Product,Packaging,4653.99,315,3449
5455,1867,Tv Product,Electronics,1086.68,222,8337
5456,1938,Significant Product,Industrial Parts,2981.0,153,3330
5457,1714,Discuss Product,Server,1615.7,308,13696
5458,1472,Congress Product,Laptop,4561.52,383,5500
5459,1150,Officer Product,Server,1526.24,216,2564
5460,1793,Section Product,Electronics,3848.41,16,11214
5461,1555,Course Product,Packaging,3091.02,275,4298
5462,1550,Consumer Product,Networking,2513.1,356,9961
5463,1806,Every Product,Office Equipment,2545.34,197,3772
5464,1719,Thing Product,Raw Material,3679.57,130,3304
5465,1749,Whether Product,Furniture,3168.9,20,11687
5466,1394,Region Product,Networking,4842.12,376,8507
5467,1618,Head Product,Software License,4129.22,441,11645
5468,1964,Add Product,Software License,4096.77,118,1668
5469,1313,Box Product,Server,2627.33,186,3302
5470,1228,Human Product,Networking,1686.22,95,10636
5471,1916,System Product,Software License,610.07,312,6575
5472,1306,Coach Product,Electronics,3735.82,256,3361
5473,1434,Shake Product,Laptop,1138.95,300,2165
5474,1264,Data Product,Packaging,269.36,489,2331
5475,1822,Consumer Product,Electronics,4770.16,204,4747
5476,1305,Couple Product,Software License,4435.63,102,4152
5477,1108,Ask Product,Networking,4311.66,229,9617
5478,1114,Gas Product,Packaging,4677.05,90,5838
5479,1386,I Product,Packaging,3412.58,31,2375
5480,1455,Adult Product,Furniture,2326.37,103,9347
5481,1180,Manage Product,Packaging,966.85,168,5305
5482,1027,Dark Product,Software License,2730.51,220,2456
5483,1770,Cold Product,Furniture,2019.77,333,1392
5484,1425,Speech Product,Laptop,3161.83,352,6035
5485,1991,Agency Product,Electronics,4391.85,219,14010
5486,1890,Institution Product,Industrial Parts,4196.08,151,11058
5487,1157,Participant Product,Server,325.85,28,14104
5488,1306,Floor Product,Laptop,3533.5,352,383
5489,1754,Baby Product,Furniture,4035.27,367,2214
5490,1183,Interview Product,Electronics,2039.62,172,6715
5491,1376,Operation Product,Office Equipment,4908.35,113,14004
5492,1670,Quite Product,Industrial Parts,918.02,207,10423
5493,1822,Church Product,Electronics,100.34,434,2408
5494,1675,Realize Product,Furniture,2239.97,238,6625
5495,1297,Sport Product,Packaging,3747.81,258,5797
5496,1135,Series Product,Furniture,1985.14,263,6403
5497,1949,Fear Product,Industrial Parts,421.87,174,4576
5498,1927,Off Product,Industrial Parts,1652.1,428,11527
5499,1910,Want Product,Electronics,2926.19,207,3011
5500,1363,Travel Product,Office Equipment,2915.13,411,7374
5501,1626,Simply Product,Industrial Parts,4136.64,327,295
5502,1903,Pick Product,Raw Material,4898.41,411,7634
5503,1537,Film Product,Furniture,4008.25,168,8489
5504,1855,Water Product,Electronics,2673.18,326,4825
5505,1359,Stage Product,Industrial Parts,2620.47,200,14664
5506,1970,Floor Product,Industrial Parts,4265.58,369,4478
5507,1487,Forget Product,Packaging,1550.04,346,9211
5508,1821,Pressure Product,Networking,1060.42,462,8140
5509,1006,Short Product,Electronics,4104.47,214,5098
5510,1192,Land Product,Networking,3830.83,333,929
5511,1536,Middle Product,Laptop,3181.85,344,8447
5512,1247,Friend Product,Networking,4039.6,369,9363
5513,1512,Always Product,Networking,806.07,117,10427
5514,1376,Old Product,Laptop,1019.89,420,6709
5515,1999,Amount Product,Industrial Parts,2064.54,311,6108
5516,1203,Song Product,Packaging,3312.18,492,12070
5517,1200,Daughter Product,Furniture,3880.79,40,12072
5518,1590,Always Product,Server,4979.96,43,1630
5519,1928,Stock Product,Laptop,4613.78,241,1501
5520,1858,Floor Product,Laptop,213.78,482,6632
5521,1168,Hand Product,Software License,2840.03,106,4471
5522,1206,Pay Product,Raw Material,3943.66,456,14242
5523,1676,Six Product,Raw Material,291.44,189,8798
5524,1726,Parent Product,Packaging,628.1,495,14574
5525,1418,It Product,Software License,2018.74,435,1673
